Gene	GSE59071 p (Corr)  [UC]vs [Not IBD]	GSE59071 LOG2FC ([UC] vs [Not IBD]) 	GSE59071 [UC] vs [Not IBD] 
PTPRD	0.00031449516949	-0.618156253693442	Down
NUBPL	2.84E-06	-0.617628428159321	Down
BMP2K	3.01E-09	-0.617568006332766	Down
PTPRH	0.016402363233914	-0.617564439957324	Down
CETN3	2.31E-06	-0.61748094465317	Down
PGAP2	1.92E-06	-0.617331132618929	Down
COX6C	3.27E-06	-0.617155241005484	Down
SOSTDC1	0.000449376166875	-0.617032765142086	Down
HDAC11	1.34E-06	-0.617008532981892	Down
CREBL2	9.15E-07	-0.616849827729764	Down
ERMP1	4.94E-06	-0.616791375383132	Down
CCNG1	1.51E-05	-0.616588346669733	Down
CHRNA7	2.20E-05	-0.614742026980553	Down
PACSIN2	2.15E-09	-0.61461902641812	Down
DOLPP1	1.34E-06	-0.614578137965458	Down
ZNF585B	1.63E-08	-0.613846464404851	Down
HOOK2	1.02E-07	-0.613688115673912	Down
GOT1	8.46E-05	-0.61350194017486	Down
PDE9A	0.00927137388442	-0.613492464469138	Down
IGF2BP2	9.45E-08	-0.613235555849545	Down
BAIAP2L2	2.79E-05	-0.613005455707569	Down
TXNDC16	7.08E-05	-0.612992566807352	Down
TMEM65	5.60E-09	-0.612647157698943	Down
MVB12B	2.64E-12	-0.612294573007405	Down
KIAA1211	9.94E-07	-0.611647985346236	Down
ATG4D	1.68E-08	-0.611591458343923	Down
TMLHE	7.16E-10	-0.610945998675506	Down
WNK4	0.000332104824656	-0.610654681917482	Down
CHCHD10	9.17E-09	-0.610631376907152	Down
PPP1R14C	2.07E-06	-0.610399986628777	Down
CAPN5	0.001197386381486	-0.610269130896951	Down
CREBRF	1.52E-05	-0.610264674151201	Down
HEATR5A	1.91E-10	-0.60996798478801	Down
RBP2	2.23E-06	-0.609939957944918	Down
GLIPR2	0.002374915813936	-0.609653011661717	Down
KIFAP3	4.15E-08	-0.609518963999866	Down
ZNF326	2.53E-09	-0.609200793499895	Down
RIOK3	9.57E-05	-0.609065201184738	Down
RNF138	1.68E-08	-0.608918515839877	Down
AOAH	0.001387415727011	-0.608851035842603	Down
GNG12	7.19E-08	-0.608256965855484	Down
SESN1	2.81E-09	-0.607644323414879	Down
CABLES1	6.96E-06	-0.607254649524751	Down
APBA1	2.27E-09	-0.606840958817821	Down
METAP1	3.53E-08	-0.606792294680977	Down
MPST	6.92E-09	-0.60670663081495	Down
ZSCAN16	6.44E-08	-0.606615416892314	Down
CDS1	0.008917505219725	-0.606328641737628	Down
OAF	2.32E-10	-0.605534669330055	Down
TREH	6.00E-08	-0.605040707039671	Down
EFNA4	3.73E-06	-0.604976544613578	Down
FOXO4	3.45E-10	-0.604792664073032	Down
AP5M1	2.09E-07	-0.604536101200132	Down
ZZEF1	9.72E-08	-0.604186833342412	Down
CNIH4	1.43E-08	-0.604117162884851	Down
SPRYD7	9.51E-10	-0.603692918304404	Down
AGL	1.01E-05	-0.603514698523682	Down
HIGD2A	9.67E-08	-0.603456494589025	Down
BMX	2.46E-06	-0.603203188630708	Down
NCR3LG1	5.32E-05	-0.60301414009827	Down
ALDH1B1	0.000212245945324	-0.602866146775881	Down
CERS6	6.81E-05	-0.602740070166993	Down
TFDP2	1.70E-07	-0.602706571945763	Down
ROGDI	8.47E-11	-0.60245904590363	Down
MYO5B	0.011505408415848	-0.602048631194144	Down
PHYKPL	1.01E-10	-0.601910016114209	Down
LARGE	9.73E-10	-0.601477177752768	Down
PRKCZ	1.60E-06	-0.601470881114004	Down
IRF6	0.016573444476117	-0.601162542272883	Down
SORBS2	5.75E-06	-0.600826258932644	Down
CYP2C9	0.032997721320461	-0.60043470509128	Down
SYT17	1.79E-08	-0.60040464193973	Down
PVRL3	1.76E-06	-0.60030763132889	Down
TMEM80	4.35E-10	-0.600239428905878	Down
PDPK1	4.63E-10	-0.599808990733552	Down
PDPK1	4.63E-10	-0.599808990733552	Down
GHITM	2.12E-07	-0.599799712768318	Down
EFTUD1	0.001963685922773	-0.599662344904578	Down
ALAD	5.57E-11	-0.599605600727674	Down
DDR1	0.000462450217619	-0.599231965162538	Down
PPM1L	2.80E-05	-0.598584742213004	Down
MAP3K2	9.80E-11	-0.598466919228246	Down
ARHGAP18	7.67E-09	-0.598445619786482	Down
DLD	1.55E-06	-0.5979047432219	Down
CYC1	1.98E-06	-0.597569685043007	Down
ZNF28	5.60E-08	-0.597334588866106	Down
PDHX	1.54E-08	-0.597012802952319	Down
PROC	1.04E-10	-0.596362251783952	Down
FBXL3	1.02E-11	-0.59613104954706	Down
UBL3	6.35E-08	-0.595625229229992	Down
NEURL1	8.76E-05	-0.595442063595542	Down
ZNF443	2.14E-05	-0.594431540110532	Down
FTH1	1.02E-08	-0.594128627577776	Down
GRB7	2.48E-06	-0.594121502802293	Down
MFSD9	4.28E-08	-0.593381729959568	Down
DHRS3	0.000414550488875	-0.593203523710478	Down
AKAP7	1.33E-08	-0.593035111286695	Down
GMNN	3.15E-05	-0.592900645635499	Down
C2CD2L	6.25E-09	-0.592292118967782	Down
COQ3	2.72E-05	-0.591838973828057	Down
GDPD3	0.028014483279824	-0.591543416923399	Down
PER3	0.000904618400931	-0.591476780370961	Down
DHRS1	1.18E-05	-0.591257613774623	Down
STYK1	0.00798687606407	-0.590934467576824	Down
TLE2	4.87E-09	-0.590872663465285	Down
LPIN3	4.49E-06	-0.5903391245525	Down
PPP1R14D	0.007797198748908	-0.590213240352512	Down
MRPS36	7.02E-06	-0.590051242950627	Down
C1orf106	0.001191359331048	-0.589840013242737	Down
ECHDC2	2.30E-07	-0.589432909003319	Down
KDM4A	5.66E-11	-0.589057016754372	Down
MTCH2	3.43E-06	-0.588870822895899	Down
TDRD7	4.88E-07	-0.588709460786048	Down
ECI2	6.39E-05	-0.588568272512676	Down
PDCD6IP	1.21E-07	-0.587964071557943	Down
ZYG11B	1.15E-12	-0.587702346251115	Down
TMEM59	5.81E-09	-0.587025214042692	Down
ZNF69	2.73E-07	-0.586913472164082	Down
KIAA1456	2.36E-13	-0.586896653491367	Down
ELF4	1.92E-09	-0.586537708133196	Down
TRIM3	2.36E-12	-0.586213376539707	Down
CD9	1.74E-06	-0.586011566724714	Down
APPL1	9.81E-09	-0.585983780120818	Down
PLEKHA6	0.000491800064789	-0.585767946932332	Down
MTHFD1L	2.61E-08	0.58508695055256	Up
CXCL17	4.07E-05	0.58517366038584	Up
SYDE1	3.93E-06	0.586046118874347	Up
BACH1	1.22E-05	0.586292697936454	Up
TMPRSS3	4.95E-05	0.586609791649759	Up
LAMA5	2.21E-06	0.5868747487649	Up
C1orf162	0.007538588520171	0.588311205631206	Up
ABI3	3.15E-08	0.58917560811332	Up
DDHD1	7.41E-06	0.589808109664092	Up
GRHL1	1.35E-07	0.589936188530465	Up
INPP4A	9.56E-07	0.590211368503637	Up
GTF2E2	2.06E-08	0.590587098502501	Up
TAPBP	7.63E-15	0.590623310904379	Up
TTC28	0.000138652403856	0.590758703790135	Up
HHEX	3.98E-05	0.590901919884995	Up
RNF19B	6.04E-05	0.591836784611548	Up
TRIM8	1.04E-08	0.591852312969728	Up
SEMA3A	0.002395411959702	0.592324454646254	Up
CD300A	5.43E-05	0.59250958210179	Up
TESPA1	0.0030576213291	0.592861586992841	Up
XPOT	6.78E-07	0.592941892006394	Up
CD1C	0.008540573674295	0.593279586791724	Up
PLEKHO2	1.35E-05	0.593553965037358	Up
PRF1	9.83E-05	0.593565007802662	Up
DLGAP5	0.005458022463616	0.593728779689195	Up
CDC27	1.22E-12	0.593748197421791	Up
BATF	6.19E-07	0.593945311763084	Up
CCNB2	0.003843645027781	0.594398048121007	Up
ATF3	0.008695555174695	0.594558146345531	Up
MAD2L2	1.38E-10	0.594714613578914	Up
SEC61A1	6.60E-14	0.595464362921209	Up
DKK3	0.001255777168833	0.595512742496452	Up
PAPSS1	2.06E-07	0.595864231779661	Up
FGFR1	4.94E-05	0.596106317323162	Up
ARSB	7.81E-06	0.596140845612613	Up
NCS1	2.76E-05	0.596401364943789	Up
SERPINB1	8.82E-05	0.597560644221225	Up
HIST2H2BF	8.60E-06	0.597653510351205	Up
TMED9	1.94E-12	0.598137932821134	Up
PTGDS	1.82E-05	0.598401094227134	Up
HSPB8	0.014706791211023	0.598689281500973	Up
PTPN12	9.92E-08	0.599066352281147	Up
TMEM263	1.18E-06	0.599444895174351	Up
PPP4R1	1.73E-08	0.599720269922917	Up
PIAS3	4.58E-11	0.600067156230042	Up
SLC2A1	0.004751169749444	0.600425375968788	Up
ITPRIP	0.000123958371044	0.600803016880724	Up
KIF23	9.85E-05	0.600907399328712	Up
RAMP3	8.20E-10	0.602207848248446	Up
RGS16	0.000128411473358	0.603426898405628	Up
AARS	2.35E-08	0.603542109287694	Up
RERG	0.006433452665516	0.60389077147594	Up
SMOC2	0.003919076177522	0.604631152031785	Up
LILRA2	0.001656563974857	0.605215385282417	Up
OXCT1	0.000256432850494	0.605629993858211	Up
BHLHA15	8.98E-07	0.605771920064033	Up
IDH2	1.52E-06	0.606057704213352	Up
NEBL	2.07E-05	0.606251508325705	Up
WAS	6.22E-06	0.606385788102681	Up
SSR3	6.70E-07	0.606606780387537	Up
ITGA6	1.10E-05	0.6066131639797	Up
GPR176	2.62E-05	0.606699630054593	Up
LPXN	0.002798464914285	0.6074099056781	Up
KIAA1551	4.36E-05	0.607443708251242	Up
GRAP	0.000203619979793	0.608014440784745	Up
FMO3	0.001169368468856	0.608084162827025	Up
SFXN3	1.30E-08	0.608410584741676	Up
PIK3CD	8.62E-07	0.609004899487347	Up
CCDC102B	0.001888392712069	0.60916037102621	Up
PROCR	1.51E-05	0.610661797416546	Up
WFS1	7.83E-07	0.610793260420343	Up
HPSE	0.000356758075268	0.611096469917353	Up
CDK1	0.015701739444267	0.611153971451161	Up
SLC40A1	0.022479450211263	0.611412814490357	Up
PHLDA2	1.28E-06	0.611993131912849	Up
SLC38A2	6.68E-06	0.613022712562264	Up
TIGIT	1.56E-05	0.61306264000001	Up
FANCD2	1.81E-05	0.613853803815837	Up
SDF2L1	1.00E-11	0.614226700224108	Up
ENO1	4.54E-11	0.614247693401028	Up
NCF1	3.50E-05	0.614916788800047	Up
MEI1	3.03E-07	0.615161608598819	Up
TPRG1	1.95E-07	0.616376549464352	Up
ERLEC1	2.95E-07	0.616411467548343	Up
ZNF267	0.000351847833237	0.616555781657956	Up
COL5A1	6.06E-05	0.616980415182503	Up
ENO2	5.14E-07	0.617243652349237	Up
PDLIM7	4.28E-07	0.617329322563152	Up
BLVRA	1.35E-09	0.618096974567405	Up
NUSAP1	0.001639556199805	0.618351078793514	Up
NUDCD1	1.25E-06	0.618719124663691	Up
ACAP1	1.86E-08	0.618933188692218	Up
TMOD2	0.003194211157885	0.619940239938392	Up
FKBP5	0.000175490605207	0.620027654010238	Up
KIAA0895	1.05E-08	0.620401017492803	Up
C1QTNF1	3.43E-07	0.620514346026646	Up
ETV5	1.85E-05	0.620906844923497	Up
TFF2	0.003844452486937	0.621175504796484	Up
CD19	0.002174023297622	0.621204073705018	Up
GYG1	1.46E-05	0.621239326987163	Up
VWA1	1.56E-12	0.621856573442063	Up
ITGAV	4.41E-08	0.621930958834492	Up
LMO4	4.58E-06	0.622273010782798	Up
KIF18A	0.001326260439414	0.622418707244539	Up
GPR141	0.00026386487947	0.62251090913473	Up
CDC42EP2	5.78E-09	0.623130884315227	Up
TNFSF15	5.62E-05	0.62319339995131	Up
FAM214B	5.13E-07	0.623672993208087	Up
LYST	4.94E-06	0.623916901360066	Up
DCPS	2.54E-10	0.624233546071638	Up
FBXO6	2.07E-12	0.624970738730121	Up
LY9	3.30E-05	0.625356824539808	Up
CYGB	0.000491961916751	0.625640503807093	Up
P4HB	1.45E-12	0.625963544692532	Up
TMEM109	7.86E-05	0.626042521453448	Up
RASA3	0.00058481641687	0.62607026094141	Up
HELB	9.72E-08	0.626429324242388	Up
APOL4	2.99E-05	0.626515235061081	Up
FAM78A	4.01E-07	0.626878304968725	Up
MET	0.005266837320863	0.62719379346402	Up
ACOT9	4.56E-11	0.627302541297755	Up
LIMK1	1.41E-10	0.627569471754645	Up
KIAA0226L	7.04E-05	0.627613832531337	Up
ANKRD36	0.000116551300879	0.627813208710727	Up
CTSC	1.96E-06	0.628801694826132	Up
MTCL1	5.31E-09	0.628813008455766	Up
HID1	1.50E-07	0.628971420144319	Up
HK2	0.013531795367489	0.629320903031786	Up
AQP1	0.008420668660559	0.630760517973625	Up
KIAA0101	0.001726043641375	0.631314620550016	Up
ISG20	1.17E-09	0.631455534569706	Up
ERI1	1.02E-08	0.631595659441403	Up
GNG2	0.001441646516571	0.631973599932722	Up
CNPY2	6.58E-14	0.632084109048323	Up
C10orf10	4.28E-07	0.632313183745271	Up
CLIP4	0.000405149689292	0.633136119944555	Up
MAP3K5	3.84E-10	0.63315538226345	Up
RUNX2	8.61E-05	0.633411729716073	Up
KIF14	5.48E-05	0.63343927235683	Up
LPL	6.00E-07	0.633525277683655	Up
PRSS22	4.49E-07	0.633786373612538	Up
TCIRG1	2.30E-15	0.63398257823909	Up
CTSL	0.007749991642284	0.634495117997329	Up
TRPV2	4.96E-07	0.634966139084585	Up
CXCL12	0.022470276454535	0.63580689517969	Up
C1QC	0.029249627795046	0.635839940257201	Up
SERPINI1	4.68E-05	0.635970403723691	Up
TSPAN9	2.56E-06	0.636355996082259	Up
TRAM2	4.03E-07	0.63650145704152	Up
SPRR2A	0.048335429748332	0.63759528484433	Up
RPL22L1	9.96E-06	0.637768326227729	Up
CFLAR	1.53E-08	0.637918585844785	Up
GPR180	3.08E-08	0.638734424904097	Up
BCL6B	6.13E-06	0.638921751776898	Up
PPP6R1	2.44E-13	0.638999234258126	Up
FAM101B	0.000214352323305	0.639022848444956	Up
SNCAIP	3.90E-08	0.6391939434993	Up
MAP1B	0.007092047070273	0.640355949308047	Up
P2RY14	0.025242933063099	0.640977911284422	Up
ATP2C1	1.26E-09	0.641148412905995	Up
GRHL3	8.71E-06	0.64135586252264	Up
TSHZ3	0.000176095541337	0.641933199262758	Up
CLIC4	0.001232411305828	0.642217449007212	Up
CTSB	2.00E-08	0.642295609714417	Up
GPR4	1.45E-05	0.642482257753213	Up
EGR2	7.54E-06	0.643533697229786	Up
IGFLR1	1.18E-07	0.643556521542706	Up
LAMB1	4.85E-06	0.643907495168452	Up
TMEM119	0.000562274787728	0.643980749009335	Up
BCL3	1.59E-07	0.644477625324985	Up
RAB13	5.54E-06	0.644763841478891	Up
GLI3	0.002875766075106	0.644905751561957	Up
MYC	2.25E-07	0.645005811030837	Up
LAIR1	6.70E-05	0.645017520626331	Up
ARID5B	0.001175678753534	0.64574936478291	Up
ADAMTS12	0.0032211008328	0.647363285098754	Up
SASH3	2.14E-06	0.647391236567553	Up
MROH6	0.001536394610322	0.648427897131135	Up
FKBP14	2.98E-05	0.648551448453121	Up
SLC35B1	3.99E-09	0.649090057745445	Up
ASPH	6.99E-10	0.649158802535394	Up
PDE7A	6.36E-05	0.649492706100711	Up
FGD2	3.50E-07	0.649494449603132	Up
ADAM8	0.000127909059898	0.65011926654446	Up
PKIA	1.78E-06	0.650127181363943	Up
PRR11	2.60E-05	0.65077181011767	Up
HCST	3.81E-07	0.651358217195146	Up
IL27RA	2.86E-08	0.651486324364347	Up
HSPA5	6.65E-10	0.652289330767708	Up
CEP85L	0.000106897657115	0.653369786785039	Up
MYO1B	1.79E-07	0.65384876833941	Up
HTRA1	2.30E-06	0.654009890658928	Up
FCN1	0.000128853216391	0.65434842128752	Up
SFRP2	0.029956809125824	0.654532375362502	Up
IL15RA	1.99E-14	0.655036755358669	Up
NOTCH3	3.99E-05	0.65543744191553	Up
CTPS1	9.88E-06	0.657393592909368	Up
UBE2S	5.56E-11	0.657423896450615	Up
ANKRD36C	2.07E-05	0.657890185754765	Up
ETV7	1.93E-07	0.658034822718384	Up
WDR54	1.51E-12	0.658548197747309	Up
KIF20A	0.000798938241654	0.658768142635132	Up
PLEKHA2	2.73E-05	0.658773502139212	Up
SLC1A3	0.00193392425664	0.65890341209942	Up
FAM25C	0.00159537824961	0.659440385876775	Up
FAM25C	0.00159537824961	0.659440385876775	Up
FAM25C	0.00159537824961	0.659440385876775	Up
ANXA2	1.97E-07	0.659555348488977	Up
EPB41L4A	2.80E-05	0.659898524196906	Up
SND1	3.59E-14	0.660085895857899	Up
NUP188	1.26E-10	0.660392951972913	Up
LIF	6.49E-05	0.660688719459251	Up
TRAT1	0.01635773739689	0.660882360296668	Up
GSAP	3.49E-05	0.661128335217688	Up
MAGED2	2.24E-10	0.661722212578002	Up
ALOX5AP	0.020445685165266	0.661788340751393	Up
PITPNB	8.70E-11	0.662692188447837	Up
SLC4A11	3.04E-07	0.662767503438791	Up
RORA	5.29E-06	0.662815371126038	Up
GCA	0.018534873405479	0.663886039052606	Up
IFT22	4.26E-14	0.664592574093699	Up
TAPBP	3.48E-16	0.66462142720686	Up
AIF1	0.000329464602224	0.664688014106133	Up
AIF1	0.000329464602224	0.664688014106133	Up
AIF1	0.000329464602224	0.664688014106133	Up
SHISA5	2.85E-18	0.665086802108791	Up
REL	1.70E-07	0.665436862415174	Up
ADAM28	0.002740761374121	0.665984464671601	Up
MCC	2.29E-06	0.666053648996829	Up
PLK1	0.000398367690026	0.666702270406116	Up
SLC29A1	2.53E-09	0.666971759500946	Up
NXN	0.000181179797663	0.667195846186083	Up
SLC23A2	1.28E-06	0.667942602105609	Up
TMEM39A	1.60E-10	0.668381855971585	Up
CHL1	0.002909108113752	0.668479116787446	Up
CDYL2	6.07E-09	0.668868178898604	Up
MANEA	0.005016764201616	0.669484514794573	Up
FNDC3B	2.13E-12	0.669491674122638	Up
PTTG1	1.18E-06	0.670459114439746	Up
CHSY1	1.92E-07	0.671086977390571	Up
MKI67	0.000211351754253	0.67125991975321	Up
EPSTI1	7.37E-05	0.671327952559705	Up
SH2D1A	9.04E-05	0.671844708677881	Up
MS4A7	0.000665538584053	0.672595275884794	Up
LIMS1	1.20E-09	0.673485180807296	Up
GPC6	0.003238984306385	0.673681177417207	Up
PLXDC1	0.000953946623214	0.673731556530106	Up
ALPK2	0.000153715740831	0.674197224770876	Up
JAZF1	1.17E-06	0.674756037421671	Up
BLM	1.85E-05	0.675034784953569	Up
QPCT	0.00116788389249	0.675916654471053	Up
FERMT3	0.000102858425809	0.675993185431205	Up
MAP3K6	8.19E-14	0.677800377573474	Up
ARHGAP11A	0.000644230942695	0.67807214551951	Up
SLFN12L	1.11E-06	0.678685113168246	Up
ARMCX3	2.60E-11	0.678694899141562	Up
FAM72B	2.19E-06	0.679101524676972	Up
SDK1	6.21E-05	0.679773594818868	Up
FFAR4	0.026688027417023	0.67978640099987	Up
RNF145	4.48E-10	0.680208560147502	Up
EREG	0.028650338315737	0.681175613737563	Up
PNP	1.42E-05	0.681278118651477	Up
CFL2	0.000363671761822	0.681378872371039	Up
PLEKHG1	2.21E-09	0.681408839408514	Up
TIPARP	3.82E-06	0.681427597044291	Up
HLA-DQA2	0.001794847426886	0.682097261167701	Up
S100A3	2.91E-05	0.682126034375638	Up
BRCA2	1.18E-06	0.682212804990559	Up
MANF	1.62E-14	0.682472407332577	Up
RUNX1	8.23E-10	0.682590599731954	Up
PTPN7	8.53E-08	0.682664380748902	Up
MAPKAPK2	1.07E-10	0.683902721347764	Up
HLA-DOA	0.000394525037213	0.684139655727384	Up
S100A6	1.36E-06	0.68464660883361	Up
TAPBP	4.91E-16	0.685245590224925	Up
CCNB1	0.000125902608305	0.685388840786876	Up
PPT1	0.001487990801662	0.686733538005585	Up
SGCE	0.008176442035704	0.687016516103697	Up
NOS2	2.06E-07	0.687597719374384	Up
RAPGEF4	1.20E-06	0.687919535631549	Up
RAB29	7.36E-07	0.687958488545461	Up
SLAIN1	0.00240891445764	0.688019720562655	Up
NUGGC	4.88E-06	0.688424559575919	Up
ROR2	8.61E-11	0.688452925257499	Up
STAT5A	9.69E-09	0.689021728500606	Up
S100A4	0.000109672016904	0.689273230210349	Up
SLC16A7	2.03E-05	0.689594484605081	Up
SERPINH1	0.000276498430302	0.689832315288839	Up
GSAP	0.000105916216778	0.689856101947049	Up
CD248	0.001518075266391	0.690088510065573	Up
MID2	1.39E-05	0.69014710969788	Up
SDC3	1.23E-07	0.69055948359031	Up
VNN3	0.000694251018365	0.690645676345008	Up
PANK2	0.000234443279088	0.690698155284433	Up
CCDC144A	0.006354609790827	0.691201536187443	Up
DIO2	0.000760068272566	0.691760440847892	Up
FAM72B	9.93E-07	0.691909489859952	Up
GIMAP2	2.02E-06	0.692250051965208	Up
SEC24A	9.30E-13	0.693037005419789	Up
AGRN	6.77E-10	0.693069317142124	Up
NCF1	1.60E-05	0.693079972522282	Up
ZEB2	0.000467685220095	0.693377720439402	Up
CLEC4D	0.008235098817075	0.693805322432181	Up
TM6SF1	2.84E-05	0.693942626482857	Up
CXCL16	2.82E-06	0.694725087328765	Up
MSTO1	2.21E-09	0.695098771507794	Up
LRG1	4.57E-06	0.696269899134491	Up
FAM72B	1.28E-06	0.696490954943943	Up
PAX5	0.010921780031337	0.696752591564171	Up
ARPC1B	1.48E-14	0.696914870636345	Up
ARMCX2	1.41E-13	0.697185262952173	Up
SEC13	2.83E-12	0.697838585154884	Up
SIRPG	9.15E-06	0.697839230214729	Up
LIPA	0.000475605562992	0.698922210378209	Up
TACSTD2	0.000308459308518	0.69898735812811	Up
PTPN14	4.15E-06	0.699503363256924	Up
RPN2	3.28E-14	0.700005795707265	Up
SGTB	9.85E-06	0.700070734045612	Up
PAPLN	1.61E-09	0.700586292008087	Up
ST3GAL5	3.23E-08	0.700776111010606	Up
MRC1	0.010070534532727	0.701067124974312	Up
MRC1	0.010070534532727	0.701067124974312	Up
RFX5	1.39E-08	0.701224923354623	Up
RFC4	0.000171818156282	0.701807512160164	Up
GARS	6.43E-10	0.703697171870948	Up
SRPRB	7.28E-08	0.70402871818489	Up
PFKP	8.96E-07	0.704793790346052	Up
LMCD1	1.19E-06	0.70689439976476	Up
CENPE	0.000155955055816	0.708750934320173	Up
CERCAM	5.95E-05	0.708812661916585	Up
WWC2	3.22E-07	0.708984863085363	Up
FCRL2	0.00039529351613	0.709332487318547	Up
PIK3R5	5.84E-06	0.710228569545301	Up
MMRN2	1.50E-06	0.710494089115016	Up
IL1RL1	6.16E-05	0.71051745764774	Up
TRIP13	7.49E-07	0.710710585099807	Up
MAGED1	7.09E-11	0.710793262016699	Up
HSH2D	3.80E-10	0.710808300630358	Up
PSMB10	1.84E-10	0.711343726711556	Up
ARRDC3	3.52E-06	0.712490508347605	Up
MILR1	1.25E-05	0.712940388501086	Up
KCNAB2	6.99E-06	0.713991948679557	Up
MARS	5.18E-10	0.714502100080042	Up
ACVR1	1.11E-13	0.714517821617181	Up
CCDC167	2.49E-10	0.714656759790915	Up
TNF	3.28E-05	0.715020842284747	Up
TNF	3.28E-05	0.715020842284747	Up
TNF	3.28E-05	0.715020842284747	Up
NLRC5	5.53E-07	0.71524199920635	Up
GOLT1B	4.84E-07	0.715675819853398	Up
AGTRAP	3.45E-15	0.715792109216523	Up
HLA-DQB2	4.51E-07	0.71582246293595	Up
CACNA2D1	0.000181872453385	0.71672133519684	Up
ACTN1	9.02E-10	0.716812935881235	Up
RHBDF2	1.30E-09	0.718217751226965	Up
RASAL3	2.08E-07	0.718417849771555	Up
NBEAL2	9.49E-09	0.718449644186563	Up
PCNX	2.21E-05	0.718570362138701	Up
ZEB2	0.008879627989839	0.720144835296335	Up
SYTL3	1.88E-06	0.720147325219471	Up
SDC2	0.000383129105984	0.720445680748016	Up
S100B	5.64E-05	0.720519114380423	Up
SVEP1	0.000619909364402	0.721042886435836	Up
RSPO3	0.002432901220599	0.721275359734407	Up
ENTPD3	0.000304635865621	0.72131188777843	Up
LIMS1	8.37E-13	0.721784781417801	Up
FMOD	0.00096463676591	0.721831514162896	Up
IL2RB	0.000186084798677	0.722907684925271	Up
HLA-DQA1	0.001536647057055	0.723826688466335	Up
UBASH3B	1.03E-13	0.72416215739466	Up
FOLH1	0.029610113512423	0.724173465975629	Up
TFEC	0.001090604809399	0.724739085408608	Up
GRAMD1A	1.09E-05	0.725256097180521	Up
HOMER1	1.85E-07	0.725508848672598	Up
ANP32E	2.03E-08	0.726085261031653	Up
SCPEP1	7.20E-06	0.726276184500973	Up
ADARB1	6.86E-08	0.72637815658926	Up
FCRLA	0.003879451991789	0.727319658366611	Up
FOXM1	4.79E-06	0.727593015676501	Up
MEFV	0.000893174035386	0.727844115473334	Up
EFEMP2	2.66E-05	0.728834220404407	Up
TRERF1	1.13E-11	0.729363941412436	Up
MUC4	0.022916817605541	0.730098744644506	Up
IRF9	5.38E-12	0.730317159435687	Up
MR1	5.48E-06	0.731729688425373	Up
FCHSD2	0.000137627794779	0.732267036240646	Up
GALNT2	1.72E-14	0.73255382686359	Up
CD68	1.41E-06	0.734066100984709	Up
ARHGAP24	1.02E-06	0.73442889096321	Up
PIK3CG	0.001059112385727	0.7352986008538	Up
CD276	3.09E-10	0.735609911737171	Up
MYH10	8.71E-06	0.73572399835053	Up
EDEM1	2.58E-13	0.735922973688698	Up
IER2	2.17E-07	0.736014604271336	Up
CSNK1E	8.63E-13	0.736286951891149	Up
GIMAP6	1.79E-07	0.736353705237999	Up
BTN3A2	5.30E-07	0.737156468240738	Up
CLEC2B	0.000154598040892	0.737563130373179	Up
TMEM258	7.35E-11	0.738753029443268	Up
PPM1K	7.37E-07	0.740577626115415	Up
SYVN1	4.66E-14	0.741400099069924	Up
RAB34	2.92E-06	0.742167638552535	Up
DNAJB11	4.91E-11	0.742414052115855	Up
FCAR	0.00046864765199	0.743392248386075	Up
ZNF521	0.000139965133719	0.744805821139699	Up
PELO	1.09E-09	0.744830985080031	Up
MFAP4	0.022338595162612	0.745048291647376	Up
IL11	0.007154381542249	0.745114029808244	Up
PLEKHO1	5.46E-07	0.745177466836823	Up
TNFAIP3	0.00225635547895	0.745673297778083	Up
MAP3K8	1.18E-07	0.74573319278363	Up
PRNP	0.000666108604033	0.746057522642298	Up
NFATC2	2.88E-05	0.746434632982621	Up
PRR16	9.61E-06	0.747216135988288	Up
PTGFR	5.61E-05	0.747792351254012	Up
SSR4	9.23E-12	0.748212651659502	Up
FZD3	1.95E-07	0.748790255348542	Up
AKIRIN2	1.47E-09	0.749103499257682	Up
BCAT1	0.000159193401439	0.749133995519264	Up
SWAP70	1.23E-08	0.749688307680406	Up
RNF144B	0.000542852201254	0.750137192982462	Up
RBMS3	2.91E-05	0.751464237434513	Up
ITPR1	2.52E-06	0.75164136726165	Up
SLC7A2	0.00019237063282	0.751762834261933	Up
PYHIN1	8.68E-07	0.751878876982643	Up
FICD	2.76E-10	0.752285249952112	Up
VAV1	3.39E-05	0.753456850864163	Up
PPP1R16B	2.87E-05	0.753728606938317	Up
HIST2H2BF	7.19E-07	0.753761892612937	Up
RHOB	2.79E-07	0.754024812242982	Up
PIK3AP1	3.45E-05	0.754178311633613	Up
ARL4C	3.66E-09	0.754352565013006	Up
NEDD4	4.26E-06	0.756052679883575	Up
CLSPN	9.80E-06	0.756250443403062	Up
NFE2L3	3.64E-08	0.756969484506395	Up
LGI2	4.02E-06	0.757635574279795	Up
OLFM1	1.93E-08	0.758835262849265	Up
EFEMP1	0.021069379769431	0.759101760963364	Up
CEP135	7.73E-10	0.759528649343665	Up
STARD4	2.18E-06	0.759565685947934	Up
ATP10D	6.07E-12	0.75999528422462	Up
FST	0.000571635583329	0.760480054543765	Up
PRKAR2B	1.14E-05	0.760524355673311	Up
RFTN2	0.001365518354726	0.761535429292663	Up
MSTO1	1.39E-12	0.761900237590259	Up
MSI2	1.52E-18	0.763420077609291	Up
