Gene	p (Corr)  [UC]vs [Not IBD]	FC ([UC] vs [Not IBD]) 	[UC] vs [Not IBD] 
IL6ST	2.55E-07	1.740282	up
CALD1	1.37E-11	2.026606	up
PTGES	6.91E-18	3.3709471	up
LAMC2	1.51E-07	2.311805	up
SH3BP5	5.37E-13	2.0954905	up
NRCAM	5.86E-04	1.8238299	up
MAP4K1	9.23E-23	3.621297	up
NRP2	1.47E-12	2.4030118	up
HM13	5.64E-23	1.8423527	up
CEBPD	3.32E-12	1.9466628	up
CD84	8.59E-15	2.8902738	up
ZEB1	3.75E-16	2.3233333	up
FIBIN	1.44E-22	8.760009	up
SPOCK2	6.80E-13	2.7653284	up
MYCT1	1.20E-09	1.7198973	up
FGR	1.52E-37	7.410684	up
OTUB2	1.46E-07	1.6602219	up
TRAF3IP3	1.41E-19	3.251519	up
PMAIP1	1.53E-10	1.9162292	up
FBLN5	4.00E-20	2.3810487	up
CHPF	3.53E-22	1.9769387	up
ZNF215	1.29E-16	2.1356986	up
HCK	1.55E-22	2.585644	up
PLTP	1.01E-09	1.7604373	up
ADAMTS2	1.81E-29	5.8719635	up
PLOD1	1.49E-07	1.5370604	up
IL3RA	5.49E-12	1.8049246	up
CASP10	1.16E-15	2.0745826	up
EGFL6	2.22E-14	8.099242	up
SLC25A37	2.29E-30	3.205593	up
STAT4	8.24E-34	3.4556038	up
CDC6	4.70E-05	1.5165739	up
PPP1R18	1.16E-26	3.1580663	up
CD2	5.91E-13	2.1917412	up
GYPC	3.43E-18	2.2652082	up
TMC5	3.28E-05	1.5998263	up
ISLR	9.53E-10	2.1422532	up
UBE2L6	1.53E-25	3.07431	up
HSPG2	1.12E-16	2.4600391	up
NUP210	2.48E-15	2.480474	up
CPXM1	1.55E-38	10.517623	up
CRELD2	3.40E-27	2.4570706	up
FEZ1	1.29E-28	2.8623478	up
KIT	3.21E-06	1.7484926	up
TLR1	2.22E-10	2.1292465	up
BUB1	1.05E-08	1.7545466	up
RNF122	1.08E-24	2.292964	up
CD52	1.48E-04	1.7459745	up
CLEC4A	1.17E-26	3.1229658	up
CLEC7A	3.68E-34	3.9713404	up
GRB10	1.80E-07	1.5472082	up
PLEKHG2	1.01E-42	6.3794575	up
KCNN3	1.09E-32	6.593305	up
CLEC2D	1.73E-16	2.9843628	up
ADAM12	3.81E-13	3.3262057	up
FBXW7	2.60E-19	1.9762204	up
CPEB4	2.86E-04	1.5029274	up
SLC16A6	1.13E-16	2.6533933	up
CREB5	9.08E-17	4.226087	up
SMARCA1	3.89E-09	1.7261988	up
ZFPM2	3.88E-10	2.0175688	up
GPR132	2.39E-22	3.3701513	up
GIMAP7	1.18E-13	1.9804555	up
TNFRSF1B	2.08E-08	1.6445749	up
NID2	1.17E-11	2.032038	up
SORD	2.91E-06	1.5113676	up
MFNG	1.57E-23	2.3390417	up
KRT6B	2.64E-21	41.670162	up
APOL3	1.46E-36	3.9975126	up
SLCO3A1	6.69E-12	1.7756431	up
LSAMP	3.53E-11	2.5530503	up
DPYSL3	7.02E-10	1.9370332	up
CP	1.61E-05	1.7277615	up
GJA5	1.39E-17	4.774755	up
CH25H	1.33E-18	3.2495165	up
ASS1	3.69E-13	2.7912858	up
SGMS1	1.13E-06	1.5223713	up
FAIM2	4.73E-16	3.2173195	up
MAP4K4	5.06E-08	1.6638131	up
FLNA	4.15E-10	1.9686192	up
ITK	2.33E-16	2.7894435	up
SLC7A7	3.33E-08	1.5884315	up
SELM	1.29E-15	1.953387	up
KPNA2	2.22E-10	1.6205479	up
IL18R1	3.51E-24	3.5661068	up
CMTM7	1.13E-30	2.7634337	up
GRINA	1.82E-31	2.3427663	up
SERPINB8	1.48E-14	2.076858	up
THBD	2.60E-22	4.11876	up
CLSTN3	1.53E-26	3.219359	up
CARD11	2.76E-11	2.4655626	up
MYO5A	4.32E-12	2.1170874	up
ADAM9	1.77E-05	1.5274259	up
STAT2	3.10E-28	2.8058894	up
HLA-DQB1	8.94E-12	2.1970088	up
BASP1	1.18E-20	2.9701827	up
AHR	4.24E-06	1.6641254	up
ANLN	2.39E-09	1.8560926	up
BTN3A1	1.99E-21	2.6165903	up
MFSD2A	7.75E-18	2.7350233	up
TSPAN11	3.87E-19	3.0696573	up
PGM3	9.47E-12	1.8007036	up
GBP2	3.31E-17	2.2682981	up
MYBL2	1.08E-10	1.7791184	up
KRT7	1.07E-18	8.096432	up
CEP55	1.12E-09	1.7923857	up
CCL3	1.44E-15	5.1178923	up
AHNAK2	8.72E-06	1.9584099	up
PLAUR	2.82E-16	3.0638149	up
HIP1	1.01E-09	1.8453032	up
ECT2	3.12E-06	1.533593	up
SLC15A3	9.83E-25	2.6258557	up
MX1	4.10E-05	1.5516876	up
ADAMTS4	8.98E-28	20.834007	up
GNAI2	2.23E-16	1.8143473	up
NFKB2	3.50E-28	2.8651888	up
SLC1A4	3.73E-16	1.9805384	up
SLC7A1	2.18E-04	1.5574065	up
TNFAIP8	1.40E-14	1.934281	up
VSNL1	9.02E-09	1.9567068	up
SEMA4A	8.72E-26	2.7281497	up
NRP1	1.17E-09	2.0734673	up
TSHZ2	1.57E-11	2.4907835	up
MMP19	6.21E-31	6.3444567	up
XDH	8.82E-06	2.3475175	up
FILIP1L	4.60E-22	3.5579538	up
DPYD	1.14E-06	1.6499774	up
CLEC1A	3.22E-27	3.1327355	up
RHOQ	2.34E-34	2.959001	up
TGFB2	1.18E-15	3.8883708	up
ITGA8	6.53E-25	3.4717607	up
LRRC8C	1.18E-21	2.8544366	up
SGIP1	3.00E-35	10.00709	up
ITGA4	5.43E-12	2.4411821	up
WWTR1	4.87E-08	1.7567358	up
NABP1	1.95E-33	3.4178128	up
ANTXR1	2.59E-14	2.219642	up
CARD8	2.04E-20	2.2219498	up
ZYX	5.35E-23	2.192306	up
GPR137B	6.33E-18	1.8947679	up
FYB	2.38E-12	2.2795615	up
PSME2	1.70E-11	1.5515293	up
TLR2	1.47E-22	4.0344667	up
ABCC1	9.22E-24	2.994625	up
P2RX5	1.35E-14	4.386613	up
XKR9	1.75E-09	2.946246	up
TSPAN18	6.79E-10	2.009198	up
PML	1.23E-23	2.5520356	up
TSTA3	3.40E-10	1.616712	up
TIFA	2.34E-16	2.1019528	up
FAM20C	1.06E-13	2.2973537	up
TNFRSF12A	5.41E-08	2.1833258	up
EDNRB	4.60E-14	2.1348314	up
ADRBK2	1.23E-12	2.0597591	up
ZFP36	5.72E-04	1.5181102	up
PANX1	9.00E-07	1.5733056	up
PCDH18	1.92E-15	2.750113	up
CD28	1.56E-16	3.209825	up
IRF1	3.11E-16	2.296564	up
MASP1	4.94E-13	3.573436	up
ANKRD44	2.04E-15	3.254115	up
UCP2	1.05E-12	1.9465894	up
PLCB1	2.81E-05	1.5832165	up
COL14A1	2.65E-13	2.486392	up
SHCBP1	8.21E-18	2.525392	up
CXorf36	2.78E-18	2.6499715	up
EML1	7.83E-12	2.103951	up
SFMBT2	1.65E-26	3.2703538	up
CD226	1.47E-12	2.478063	up
EVI2A	1.03E-15	2.0706117	up
DUSP7	1.47E-17	2.0942473	up
SEC22C	1.97E-18	1.7051449	up
STX2	4.33E-30	2.9484758	up
CXCR5	7.72E-05	1.8185394	up
ACKR1	4.33E-10	1.8968545	up
FAM126A	2.63E-10	1.9867363	up
PKM	6.42E-08	1.5227536	up
LBH	4.52E-13	2.1796968	up
HIVEP2	3.38E-07	1.7847701	up
ATP11A	2.16E-14	2.7790768	up
BAG2	2.13E-20	2.1886492	up
RTEL1-TNFRSF6B	<5.34E-43	8.069413	up
PTAFR	5.70E-20	2.8626492	up
ZG16B	1.41E-04	1.5444461	up
C3AR1	7.90E-13	2.0560987	up
CST7	5.76E-18	3.0746822	up
MTHFD2	3.36E-11	1.6249512	up
IRAK2	8.94E-11	1.9991624	up
TMEM173	2.28E-13	1.7525501	up
OAS3	2.14E-06	1.8119061	up
BTN3A3	3.22E-19	2.4005527	up
CD163	7.78E-14	2.4974668	up
CCL11	3.22E-28	17.791393	up
SPON2	9.24E-21	2.7636862	up
EHD3	3.33E-23	3.6971881	up
RASGRF2	3.98E-16	2.4601727	up
KIAA0922	5.92E-08	1.8873768	up
SMAP2	1.59E-10	1.7704877	up
FAM20A	9.25E-37	7.2908134	up
NT5DC2	2.75E-36	2.9765675	up
GNB4	3.07E-13	1.989994	up
TMEM55A	2.54E-12	1.806635	up
AKR1B1	1.64E-15	1.6792817	up
GBP1	9.75E-27	5.58905	up
FCRL3	1.38E-10	3.6873505	up
SLC9B2	8.01E-23	2.9517746	up
ATP8B2	5.63E-26	3.1658888	up
PDIA4	8.01E-10	1.6891358	up
TMEM163	1.86E-08	3.4900107	up
CSF2RA	2.87E-21	2.5671015	up
TNFSF13B	6.22E-20	2.8229887	up
CRIP2	1.90E-24	2.548467	up
ERRFI1	9.35E-10	2.2688303	up
FMNL3	1.97E-17	2.5314972	up
GMPR	4.01E-22	2.403728	up
RILPL2	1.90E-29	2.365949	up
APOL2	4.99E-25	3.0176506	up
RPS6KA2	3.15E-17	2.2994545	up
IKBIP	7.19E-31	2.8614078	up
PLXND1	1.23E-31	3.0698323	up
FAM171B	2.28E-10	1.9348874	up
CHAC1	2.06E-35	8.069295	up
WISP1	6.88E-32	24.558113	up
ZNF385D	3.21E-17	3.9696834	up
SLC17A9	<5.34E-43	4.6409354	up
SACS	3.53E-27	3.0519774	up
BIN2	1.27E-19	2.0246642	up
NR4A1	3.67E-06	3.058322	up
SLAMF8	3.70E-27	3.2615592	up
NR4A3	1.10E-10	4.4576597	up
NAMPT	9.81E-12	2.8979967	up
HSPA13	1.59E-09	1.6665881	up
PTRF	5.33E-08	1.7205429	up
PLA1A	1.66E-21	3.8467362	up
ZNF532	3.25E-18	2.5003285	up
DNAJB9	8.04E-20	1.9811666	up
GNG11	3.29E-18	1.9646575	up
CD40	7.24E-31	3.5996635	up
ABCC9	1.37E-12	1.9878975	up
FAM129A	1.22E-06	1.7192081	up
ART3	1.44E-18	4.807825	up
PLK3	1.17E-23	2.996062	up
TAP2	4.51E-13	2.2047374	up
THBS2	1.21E-12	4.1098423	up
MYO1F	7.84E-36	4.361728	up
PACS1	1.70E-16	2.2085133	up
TLR10	6.69E-07	3.032502	up
ST3GAL2	2.12E-15	2.1037924	up
PRKCB	1.90E-10	2.3542328	up
QKI	1.95E-10	2.003028	up
GPRC5B	2.17E-16	2.2228336	up
BICC1	1.35E-16	2.3375716	up
PEA15	2.29E-19	2.037422	up
LILRA1	3.34E-37	9.133085	up
ATM	1.95E-13	2.640728	up
PRKCDBP	1.38E-19	2.5175636	up
ARHGEF6	5.04E-16	2.2738786	up
IL1RAP	1.69E-06	1.6832324	up
JAK2	2.48E-09	1.7888982	up
PXDC1	2.41E-26	2.395174	up
ASRGL1	7.62E-09	1.7223939	up
FBXO16	1.92E-25	2.584674	up
LILRB1	1.52E-40	6.910439	up
DDR2	9.16E-10	2.1834314	up
SOCS1	4.02E-26	5.202815	up
PAPPA	1.01E-15	4.4620013	up
SRD5A3	1.83E-10	2.1304104	up
JUNB	4.26E-05	1.5979786	up
S1PR1	2.80E-14	2.38542	up
CTGF	8.18E-07	2.1374726	up
EMCN	7.46E-08	1.5870788	up
GPR65	7.20E-22	2.6487868	up
KIRREL	3.35E-16	2.8495712	up
P2RY13	2.10E-22	3.198135	up
PCDH17	1.89E-17	3.6761467	up
MYEOV	1.98E-22	5.765329	up
TNS4	8.88E-04	1.9092855	up
SPCS3	6.40E-13	1.56185	up
SLC5A1	2.56E-04	1.6375852	up
SH3PXD2B	1.05E-19	2.5369513	up
P2RY10	1.44E-11	2.3972054	up
CSGALNACT1	1.34E-18	2.7357373	up
CEP128	5.04E-22	3.4575436	up
ARID5A	9.04E-30	3.471971	up
LPGAT1	2.19E-09	1.7712256	up
LGALS1	3.20E-16	1.9891187	up
FMNL1	8.56E-30	4.043849	up
COL6A1	5.65E-27	3.9501019	up
ITGAL	2.76E-20	3.3213	up
ERG	2.94E-13	2.300392	up
CLMP	1.06E-14	2.2556908	up
TRPA1	2.39E-10	2.4845004	up
CLIC2	7.08E-16	1.8861648	up
CCR7	3.23E-05	2.3935606	up
PLCG2	3.32E-20	2.97179	up
AGT	8.69E-24	9.599949	up
PDGFRA	1.11E-11	2.3552423	up
SLC38A5	3.79E-23	2.3639665	up
LY6E	8.54E-21	2.439066	up
EAF2	1.27E-24	2.454543	up
PLXNC1	7.73E-08	1.7238343	up
PARP14	3.36E-14	2.321535	up
PALMD	2.67E-18	2.4667752	up
TNFSF8	1.69E-16	3.2424526	up
OSBPL3	9.46E-39	4.409166	up
TMEM92	4.33E-14	2.507131	up
IL18RAP	8.84E-25	5.062641	up
ENC1	6.18E-07	1.5770738	up
RFTN1	2.54E-15	2.4144442	up
APBB1IP	7.32E-17	2.569526	up
SCIMP	2.27E-17	2.585021	up
SLC16A14	5.96E-10	2.2362208	up
LDB2	7.41E-18	2.348564	up
SLC41A1	1.60E-23	2.882725	up
C5AR1	4.81E-24	4.0650063	up
CTLA4	3.27E-32	7.6188035	up
ACPP	8.06E-10	2.204997	up
CNN2	5.88E-18	1.8200489	up
KMO	1.66E-17	2.8316596	up
TTYH3	6.63E-17	2.1941457	up
RAB8B	1.49E-07	1.6269547	up
IFIT3	1.46E-11	2.775558	up
NUCB2	1.46E-12	1.6751989	up
EMB	2.27E-05	1.520218	up
CD109	2.07E-06	1.8995912	up
MEDAG	2.29E-10	4.5731893	up
CYBB	5.26E-15	2.367834	up
IFNAR2	2.20E-28	2.5245192	up
CAV2	1.76E-13	2.0015385	up
AAED1	1.85E-14	1.792507	up
FGF2	1.77E-12	2.414985	up
MFGE8	7.79E-28	3.320545	up
GFPT2	2.67E-18	3.9342344	up
CEBPB	1.45E-17	2.6024475	up
UNC5CL	2.12E-30	6.32045	up
TM4SF1	3.67E-21	3.6842732	up
PTP4A3	7.96E-20	3.6457837	up
LPIN1	1.57E-25	3.408173	up
PLEKHS1	4.39E-15	3.3186972	up
ACSL1	5.36E-09	2.200818	up
SLC9A7	2.90E-10	2.0301545	up
INSC	1.07E-29	6.3995457	up
SYT11	7.57E-15	2.300728	up
DEFA6	2.79E-04	4.192253	up
ARHGAP25	6.75E-20	2.651938	up
PREX1	4.56E-14	2.0669858	up
IKZF1	1.24E-11	2.3359694	up
ETS1	5.59E-07	1.7253222	up
PLK2	2.68E-09	1.7726119	up
TPK1	8.43E-15	2.140218	up
SEMA4D	1.27E-20	2.7217157	up
AGPAT4	1.57E-15	3.8802874	up
FCGR3A	4.78E-31	8.978771	up
LILRB4	3.30E-31	5.0374107	up
CXCL3	1.03E-40	15.280892	up
JAM2	1.07E-08	1.6482879	up
GPX7	8.26E-13	2.2441268	up
GUCY1B3	4.60E-29	4.520251	up
TLR6	1.75E-14	2.7613328	up
ENKUR	1.51E-18	7.001683	up
MSC	2.50E-33	4.517642	up
CYSLTR1	1.49E-20	2.190591	up
MMP14	6.78E-09	1.7875589	up
MUC1	3.25E-09	1.9727346	up
TAP1	1.37E-12	2.0368354	up
OLFML2B	4.28E-34	4.7776303	up
ITGB3	2.89E-16	3.2243726	up
CCR1	1.37E-17	3.0195825	up
SLC26A4	2.43E-13	8.079564	up
NCOA7	4.74E-17	2.9352462	up
A2M	3.72E-15	2.2771525	up
TNFAIP2	<5.34E-43	5.97205	up
ANKRD22	2.87E-11	2.1921575	up
PARP15	3.21E-21	5.3948264	up
AKT3	2.95E-13	2.0553687	up
EBF1	5.02E-13	2.451021	up
SPNS2	2.49E-30	4.2872057	up
CCDC88A	7.81E-29	2.791244	up
SEC14L1	2.27E-19	2.1628637	up
RASGRP1	2.01E-18	3.0197747	up
POSTN	5.13E-09	2.3167303	up
SOD2	8.56E-07	1.9066892	up
GEM	6.74E-19	3.9948468	up
SEMA7A	1.13E-16	3.6455677	up
HBEGF	5.56E-05	2.2114048	up
BTK	1.02E-24	3.54304	up
FAM46C	7.27E-08	1.5764318	up
RND1	1.82E-27	8.543347	up
ARHGAP15	9.48E-12	1.8411027	up
SERPINF1	1.42E-22	2.5393286	up
CXCL6	1.24E-22	11.966269	up
CD86	5.96E-23	2.5507653	up
NRG1	5.21E-19	4.7445827	up
GLT8D2	2.15E-18	2.2453182	up
CECR1	4.91E-16	2.288974	up
STAP1	4.36E-05	2.0708904	up
FN1	2.78E-05	1.6692159	up
GLT1D1	6.01E-24	13.986895	up
PODXL	4.00E-05	1.6646036	up
CCL4	7.21E-20	5.517493	up
TGFB1	3.90E-28	2.6546712	up
TMEM71	3.99E-21	3.3409348	up
KLF7	7.90E-18	2.838864	up
SP140	2.14E-20	3.5613198	up
ICAM2	1.69E-23	2.3437328	up
FERMT2	1.96E-18	2.33241	up
TFPI2	5.44E-17	6.0357957	up
LILRA5	6.33E-28	11.273678	up
CXorf21	2.03E-21	2.500047	up
GIMAP1-GIMAP5	1.29E-10	4.4989395	up
HLA-DMB	9.89E-22	2.437988	up
TNFRSF17	1.62E-19	2.5724168	up
ALDH1L2	3.12E-19	3.612799	up
TBXAS1	3.31E-23	2.2213814	up
DOCK11	6.95E-16	2.0981977	up
SMOX	6.35E-27	3.795195	up
UNC13D	5.74E-28	3.05521	up
SLAMF1	1.76E-29	3.9441164	up
SULF1	6.37E-25	3.3874676	up
RRM2	3.84E-12	2.2145119	up
CSGALNACT2	2.09E-26	2.8327084	up
NCF4	3.81E-35	2.8437645	up
STS	7.34E-07	2.152174	up
CEP170	1.56E-19	2.408983	up
SP110	6.56E-18	2.1365182	up
EMP3	2.07E-27	2.7286491	up
RIPK2	3.12E-19	2.066741	up
IL24	3.78E-07	2.7192073	up
FXYD5	3.33E-16	2.0239725	up
MB21D1	1.32E-22	2.389454	up
IGSF6	1.28E-20	2.9478695	up
GRK5	1.45E-35	3.0906813	up
TRPS1	8.25E-13	2.323746	up
DUSP4	2.79E-12	2.8364716	up
TLR4	3.53E-08	1.8806152	up
SEC24D	1.99E-08	1.6314304	up
CREB3L2	1.56E-11	1.8082908	up
CASP4	3.42E-22	2.1173587	up
LHFP	8.44E-27	3.1198845	up
APOBEC3G	1.93E-27	2.6700804	up
XAF1	7.79E-23	4.630565	up
TEK	5.42E-10	2.1182635	up
CYP7B1	1.28E-11	2.8086905	up
COL5A2	2.06E-22	4.185915	up
SNX10	2.29E-09	1.9690311	up
LAMA4	1.38E-22	3.1201403	up
HAPLN3	2.74E-41	9.946942	up
CLEC4E	1.07E-24	11.426605	up
PSAT1	1.47E-21	4.529446	up
SELPLG	5.25E-25	2.791777	up
INPP5D	1.55E-17	2.6672378	up
DUSP10	1.14E-21	2.1446261	up
PTPRM	3.96E-24	2.528254	up
PIK3R3	2.52E-14	2.0504487	up
BST2	1.20E-26	2.5787973	up
EPHA2	1.41E-07	2.0843298	up
CORO1A	3.31E-15	2.789404	up
POU2AF1	3.81E-35	5.640078	up
RASSF2	9.76E-11	2.1941915	up
ANXA6	5.83E-19	2.1728175	up
ALDH1A2	7.35E-18	6.0093255	up
RNF213	3.49E-27	3.5456128	up
CCDC109B	1.63E-21	2.175954	up
CDK14	1.09E-09	1.9151812	up
PLVAP	7.17E-17	2.5154526	up
IKZF3	4.27E-11	2.3562973	up
AZGP1	2.87E-04	1.960223	up
GPX8	5.25E-20	2.6109746	up
DERL3	5.34E-43	7.117967	up
PARP9	1.06E-18	2.3347569	up
STAT1	5.69E-12	2.3652923	up
SERPINE2	4.74E-09	2.0489235	up
SLC11A1	7.29E-22	11.076585	up
CXCL5	2.18E-28	91.96713	up
MLKL	1.64E-28	2.6417158	up
SCD	2.67E-05	1.8228797	up
RGCC	2.25E-38	3.7319639	up
IL10RA	1.59E-26	3.1575882	up
IFI44	3.79E-29	3.6070354	up
PSMB9	2.58E-20	2.5257463	up
ANGPT2	1.32E-25	5.934795	up
DOCK8	5.36E-16	2.3459272	up
SAA4	1.40E-32	139.91655	up
RASSF5	6.62E-19	2.3234444	up
TMEM45A	3.99E-29	2.35016	up
LRP8	1.40E-29	6.365221	up
ASAP1	4.06E-16	2.411968	up
CRISPLD2	3.60E-14	2.6722646	up
LOX	6.05E-15	2.515446	up
DENND5A	3.30E-21	2.446312	up
IFI30	2.71E-23	2.6838944	up
DSE	8.54E-21	2.6942258	up
NXPE3	1.07E-24	3.1520624	up
FLI1	4.54E-19	2.2283282	up
ORAI2	7.43E-24	2.9246376	up
P2RY8	1.74E-13	2.5993679	up
FAM49A	6.33E-26	3.4261258	up
PDCD1LG2	7.07E-29	3.8245783	up
OSM	1.86E-28	34.592163	up
HCLS1	5.50E-23	2.8168864	up
MMRN1	9.51E-05	1.8154583	up
S100A11	1.12E-18	2.1807935	up
HLA-DOB	2.71E-10	2.989735	up
LILRB3	5.48E-30	7.853243	up
JAK3	2.30E-34	6.850406	up
PDPN	8.29E-37	15.387858	up
AIM2	1.94E-20	3.9560435	up
DOCK2	2.76E-23	2.9095361	up
SERPINA1	7.68E-05	1.5766928	up
PLA2G2A	1.11E-05	2.0526168	up
TMEM154	5.91E-04	1.5797404	up
VIM	6.97E-19	2.030021	up
ASPHD2	1.29E-12	1.6698798	up
ICOS	8.69E-24	4.7310677	up
XBP1	1.85E-26	2.317792	up
NFKBIZ	4.54E-26	3.6561782	up
THEMIS2	2.65E-38	4.5817847	up
NCKAP1L	9.26E-18	2.5183282	up
CALU	1.08E-12	1.8637478	up
FKBP10	5.86E-34	3.5395691	up
ALOX5	2.09E-24	3.8783033	up
ADM	2.98E-12	2.7637997	up
IFITM1	9.82E-32	3.519708	up
ELL2	2.67E-27	3.1464071	up
CYP4X1	5.38E-17	3.2850835	up
SLA	4.57E-20	3.1778395	up
ELMO1	2.59E-19	2.436527	up
ELK3	6.66E-16	2.134733	up
SLC43A3	6.27E-20	2.3286161	up
SRPX2	2.74E-26	4.374016	up
ANGPTL4	3.12E-17	7.362198	up
CD80	5.32E-28	5.635722	up
FCN3	3.61E-37	24.915743	up
KLHL6	2.50E-24	3.6430604	up
GLCCI1	6.45E-29	3.4768445	up
MUC5B	2.31E-14	3.588809	up
LIPG	8.48E-21	3.8476803	up
CHST15	1.25E-34	4.438424	up
SLC16A4	2.64E-11	2.2714477	up
ARFGAP3	1.26E-17	1.8884587	up
FYN	3.23E-16	2.1800392	up
HLA-DPB1	2.51E-09	1.6708773	up
PMP22	1.71E-15	1.8849984	up
CCDC69	1.73E-23	2.628358	up
IGFBP7	5.96E-31	3.1460934	up
IFI44L	1.88E-06	2.3420224	up
HIF1A	4.34E-16	2.5354824	up
CCL19	1.02E-10	4.732728	up
LEF1	6.47E-17	3.322013	up
MCTP1	1.74E-13	2.3157713	up
SAA1	<5.34E-43	1335.1152	up
PDE4B	1.54E-21	4.079976	up
TNFRSF11B	6.24E-04	1.7372286	up
SAA2	3.07E-42	237.38652	up
FCER1G	2.83E-20	2.670493	up
G0S2	2.88E-09	3.1727226	up
FCGR1B	1.25E-21	7.017244	up
SLCO4A1	1.53E-23	3.1599808	up
TMEM156	4.72E-18	2.9415686	up
GUCY1A3	6.27E-15	3.3567855	up
ITGA2	2.09E-06	2.3899672	up
CD22	1.45E-05	2.9637628	up
CTSH	2.31E-14	2.1435897	up
CD37	3.79E-06	2.077279	up
CASP1	4.55E-23	3.1013262	up
APLNR	9.24E-13	2.4387238	up
FKBP11	1.38E-42	3.98052	up
COL4A2	2.03E-15	3.4199975	up
CASP5	3.93E-16	4.3693676	up
PTPN13	3.97E-16	2.72265	up
LILRB2	1.57E-35	6.991127	up
MX2	2.61E-21	2.8907762	up
GMFG	2.37E-23	2.7731934	up
CYTH4	2.55E-37	4.4715676	up
FCGR2B	6.38E-08	1.9560248	up
CFH	7.76E-17	2.2919888	up
DEFB4B	6.08E-04	16.319365	up
DEFB4A	3.43E-42	2316.5347	up
CD82	6.39E-07	1.5942146	up
TMTC1	1.39E-15	2.8094707	up
LRRK2	2.35E-17	3.5618312	up
CHST11	6.66E-23	3.151543	up
ITGB2	2.16E-22	3.207806	up
LYN	1.56E-15	2.1725934	up
PLA2G7	3.75E-23	3.496729	up
IL2RA	6.80E-35	9.515651	up
ZC3H12A	9.06E-34	5.743187	up
BACE2	1.21E-18	2.7152157	up
ADAM19	1.51E-25	3.6431324	up
ST8SIA4	6.65E-18	2.2480445	up
LAMP3	5.57E-22	4.558846	up
ARHGDIB	2.07E-17	2.211956	up
ARHGAP29	7.23E-13	2.131743	up
BHLHE40	6.11E-17	2.492004	up
WIPF1	3.11E-18	2.6199157	up
CSF2RB	5.71E-27	4.0715566	up
STOM	2.24E-24	4.2189417	up
F2R	8.03E-26	4.260686	up
GIMAP4	3.13E-17	2.2098293	up
SLC6A20	1.76E-25	9.690618	up
CCL24	1.30E-16	3.3149526	up
FUT8	2.45E-21	2.2138927	up
SAMD9L	3.70E-28	3.8721876	up
ZBP1	<5.34E-43	9.490385	up
MCAM	9.29E-23	3.9119017	up
CHI3L2	1.80E-15	5.362967	up
CDC25B	1.03E-30	3.4414582	up
NNMT	8.53E-25	6.012664	up
RASGRP3	1.44E-18	2.4881973	up
RHOJ	2.86E-16	2.3225377	up
PDGFRB	9.01E-33	4.937844	up
FAP	1.94E-16	4.3187737	up
KDELR3	2.25E-10	1.6950636	up
ME1	5.63E-13	2.23163	up
ANXA5	1.64E-14	1.7403607	up
TFPI	2.12E-09	1.754975	up
TRIM40	2.44E-14	5.145207	up
CD27	1.12E-24	3.4010398	up
CAV1	2.83E-10	1.7650634	up
HLA-DRB1	1.37E-15	2.3015392	up
GABRP	5.91E-16	3.2443469	up
LAPTM5	1.31E-12	1.9928515	up
BCL6	6.96E-18	3.9364336	up
FGF7	4.70E-18	4.0009513	up
HCAR2	6.53E-34	47.299614	up
TNFRSF9	7.14E-18	4.1097093	up
CCDC3	3.01E-18	4.2751036	up
ENPP2	3.63E-13	2.3440242	up
CATSPERB	6.81E-26	5.0887303	up
IFI6	1.55E-09	1.8011606	up
PROK2	9.41E-34	133.98799	up
SLAMF6	4.27E-19	3.3458505	up
TM4SF18	1.73E-15	2.4262795	up
C8orf4	6.65E-14	3.5284708	up
DCN	4.72E-13	2.0530233	up
PCOLCE	2.55E-38	4.2832665	up
COL3A1	1.85E-17	3.1339471	up
FLT1	1.62E-10	2.445018	up
BCL2A1	3.88E-25	6.1925974	up
GPR183	7.44E-15	2.5806012	up
SLC28A3	5.78E-16	3.5275097	up
LAMC1	5.26E-13	2.5506551	up
CHN1	8.24E-15	2.3236036	up
DYSF	5.00E-24	4.5978074	up
LCP2	4.00E-28	3.7916908	up
BNIP3	7.76E-14	2.1893623	up
LCP1	1.29E-14	2.5629258	up
CD69	1.39E-05	1.9034554	up
STX11	5.77E-26	4.0031476	up
LY96	5.87E-22	2.6142888	up
MNDA	2.68E-25	5.5027266	up
SAMSN1	7.41E-23	2.9009235	up
DEFA5	2.81E-05	8.520176	up
NID1	9.14E-20	4.0036373	up
ADAMTS1	1.73E-11	2.921648	up
TAGAP	1.50E-13	2.745862	up
CD44	8.13E-22	2.6712217	up
BANK1	1.17E-06	2.9111683	up
CD34	2.28E-17	2.4798136	up
CXCR2	1.79E-33	30.704174	up
ROBO1	7.27E-18	3.2629848	up
KCNA3	3.27E-18	3.715541	up
INHBA	4.92E-23	13.878565	up
FAM65B	3.31E-13	3.5985947	up
CDH11	3.10E-20	3.5116909	up
CARD6	8.40E-22	2.787205	up
CYYR1	4.84E-22	2.5399375	up
IFITM3	3.83E-31	3.3724122	up
KCNJ15	3.14E-31	31.087988	up
HLA-DPA1	1.52E-12	1.9075348	up
GLIPR1	6.85E-18	2.3058817	up
AREG	8.20E-05	1.8307388	up
TCF4	5.15E-15	2.413573	up
IL1R1	1.40E-21	3.0177817	up
SLC6A6	3.45E-26	4.33188	up
F3	1.73E-24	3.8949	up
COL15A1	1.04E-13	3.2544878	up
RAC2	4.99E-21	2.6022253	up
